Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology
09/08/2020,09/09/2020,North River,NR,415.00,227000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),658596,RT-qPCR
09/08/2020,09/09/2020,Oakwood Beach,OB,539.00,193000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,258731,RT-qPCR
09/08/2020,09/09/2020,Owls Head,OH,862.00,318000.00,,906442,RT-qPCR
09/08/2020,09/09/2020,Port Richmond,PR,1059.00,386000.00,,226167,RT-qPCR
09/08/2020,09/09/2020,Red Hook,RH,478.00,186000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,RT-qPCR
09/08/2020,09/09/2020,Rockaway,RK,270.00,161000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539,RT-qPCR
09/08/2020,09/09/2020,Tallman Island,TI,750.00,309000.00,,449907,RT-qPCR
09/08/2020,09/09/2020,Wards Island,WI,1065.00,624000.00,,1201485,RT-qPCR
09/13/2020,09/14/2020,26th Ward,26W,,,Possible analytical issue,290608,RT-qPCR
09/13/2020,09/14/2020,Bowery Bay,BB,1278.00,471000.00,,924695,RT-qPCR
09/13/2020,09/14/2020,Coney Island,CI,16954.00,8180000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,682342,RT-qPCR
09/13/2020,09/14/2020,Hunts Point,HP,492.00,298000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948,RT-qPCR
09/13/2020,09/14/2020,Jamaica Bay,JA,470.00,178000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737,RT-qPCR
09/13/2020,09/14/2020,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1156473,RT-qPCR
09/13/2020,09/14/2020,North River,NR,,,Concentration below Method Limit of Detection,658596,RT-qPCR
09/13/2020,09/14/2020,Oakwood Beach,OB,227.00,86500.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),258731,RT-qPCR
09/13/2020,09/14/2020,Owls Head,OH,,,Concentration below Method Limit of Detection,906442,RT-qPCR
09/13/2020,09/14/2020,Port Richmond,PR,,,Concentration below Method Limit of Detection,226167,RT-qPCR
09/13/2020,09/14/2020,Red Hook,RH,450.00,175000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,RT-qPCR
09/13/2020,09/14/2020,Rockaway,RK,226.00,156000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539,RT-qPCR
09/13/2020,09/14/2020,Tallman Island,TI,,,Possible analytical issue,449907,RT-qPCR
09/13/2020,09/14/2020,Wards Island,WI,394.00,230000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1201485,RT-qPCR
09/15/2020,09/16/2020,26th Ward,26W,524.00,307000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,RT-qPCR
09/15/2020,09/16/2020,Bowery Bay,BB,972.00,342000.00,,924695,RT-qPCR
09/15/2020,09/16/2020,Coney Island,CI,1370.00,601000.00,,682342,RT-qPCR
09/15/2020,09/16/2020,Hunts Point,HP,1050.00,610000.00,,755948,RT-qPCR
09/15/2020,09/16/2020,Jamaica Bay,JA,497.00,186000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737,RT-qPCR
09/15/2020,09/16/2020,Newtown Creek,NC,739.00,418000.00,,1156473,RT-qPCR
09/15/2020,09/16/2020,North River,NR,248.00,132000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,658596,RT-qPCR
09/15/2020,09/16/2020,Oakwood Beach,OB,286.00,106000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),258731,RT-qPCR
09/15/2020,09/16/2020,Owls Head,OH,2693.00,978000.00,,906442,RT-qPCR
09/15/2020,09/16/2020,Port Richmond,PR,247.00,95800.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),226167,RT-qPCR
09/15/2020,09/16/2020,Red Hook,RH,275.00,107000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,RT-qPCR
09/15/2020,09/16/2020,Rockaway,RK,,,Analytical issue,120539,RT-qPCR
09/15/2020,09/16/2020,Tallman Island,TI,264.00,111000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907,RT-qPCR
09/15/2020,09/16/2020,Wards Island,WI,316.00,183000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1201485,RT-qPCR
09/20/2020,09/21/2020,26th Ward,26W,432.00,264000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,RT-qPCR
09/20/2020,09/21/2020,Bowery Bay,BB,1425.00,537000.00,,924695,RT-qPCR
09/20/2020,09/21/2020,Coney Island,CI,18543.00,8330000.00,,682342,RT-qPCR
09/20/2020,09/21/2020,Hunts Point,HP,568.00,338000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948,RT-qPCR
09/20/2020,09/21/2020,Jamaica Bay,JA,801.00,304000.00,,748737,RT-qPCR
09/20/2020,09/21/2020,Newtown Creek,NC,834.00,442000.00,,1156473,RT-qPCR
09/20/2020,09/21/2020,North River,NR,991.00,495000.00,,658596,RT-qPCR
09/20/2020,09/21/2020,Oakwood Beach,OB,644.00,224000.00,,258731,RT-qPCR
