Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology,Is Correct Abbreviation,Expected Abbreviation
09/08/2020,09/09/2020,Coney Island,CI,43278.0,18200000.0,,682342,RT-qPCR,True,CI
09/08/2020,09/09/2020,Hunts Point,HP,1582.0,958000.0,,755948,RT-qPCR,True,HP
09/08/2020,09/09/2020,Jamaica Bay,JA,1224.0,446000.0,,748737,RT-qPCR,False,JB
09/08/2020,09/09/2020,Newtown Creek,NC,307.0,178000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473,RT-qPCR,True,NC
09/08/2020,09/09/2020,North River,NR,415.0,227000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),658596,RT-qPCR,True,NR
09/08/2020,09/09/2020,Oakwood Beach,OB,539.0,193000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,258731,RT-qPCR,True,OB
09/08/2020,09/09/2020,Owls Head,OH,862.0,318000.0,,906442,RT-qPCR,True,OH
09/08/2020,09/09/2020,Port Richmond,PR,1059.0,386000.0,,226167,RT-qPCR,True,PR
09/08/2020,09/09/2020,Red Hook,RH,478.0,186000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,RT-qPCR,True,RH
09/08/2020,09/09/2020,Rockaway,RK,270.0,161000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539,RT-qPCR,False,R
09/08/2020,09/09/2020,Tallman Island,TI,750.0,309000.0,,449907,RT-qPCR,True,TI
09/08/2020,09/09/2020,Wards Island,WI,1065.0,624000.0,,1201485,RT-qPCR,True,WI
09/13/2020,09/14/2020,26th Ward,26W,,,Possible analytical issue,290608,RT-qPCR,True,26W
09/13/2020,09/14/2020,Bowery Bay,BB,1278.0,471000.0,,924695,RT-qPCR,True,BB
09/13/2020,09/14/2020,Coney Island,CI,16954.0,8180000.0,This sample was analyzed in duplicate. The higher of the 2 results is reported,682342,RT-qPCR,True,CI
09/13/2020,09/14/2020,Hunts Point,HP,492.0,298000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948,RT-qPCR,True,HP
09/13/2020,09/14/2020,Jamaica Bay,JA,470.0,178000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737,RT-qPCR,False,JB
09/13/2020,09/14/2020,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1156473,RT-qPCR,True,NC
09/13/2020,09/14/2020,North River,NR,,,Concentration below Method Limit of Detection,658596,RT-qPCR,True,NR
09/13/2020,09/14/2020,Oakwood Beach,OB,227.0,86500.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),258731,RT-qPCR,True,OB
09/13/2020,09/14/2020,Owls Head,OH,,,Concentration below Method Limit of Detection,906442,RT-qPCR,True,OH
09/13/2020,09/14/2020,Port Richmond,PR,,,Concentration below Method Limit of Detection,226167,RT-qPCR,True,PR
09/13/2020,09/14/2020,Red Hook,RH,450.0,175000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,RT-qPCR,True,RH
09/13/2020,09/14/2020,Rockaway,RK,226.0,156000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539,RT-qPCR,False,R
09/13/2020,09/14/2020,Tallman Island,TI,,,Possible analytical issue,449907,RT-qPCR,True,TI
09/13/2020,09/14/2020,Wards Island,WI,394.0,230000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),1201485,RT-qPCR,True,WI
09/15/2020,09/16/2020,26th Ward,26W,524.0,307000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,RT-qPCR,True,26W
09/15/2020,09/16/2020,Bowery Bay,BB,972.0,342000.0,,924695,RT-qPCR,True,BB
09/15/2020,09/16/2020,Coney Island,CI,1370.0,601000.0,,682342,RT-qPCR,True,CI
09/15/2020,09/16/2020,Hunts Point,HP,1050.0,610000.0,,755948,RT-qPCR,True,HP
09/15/2020,09/16/2020,Jamaica Bay,JA,497.0,186000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737,RT-qPCR,False,JB
09/15/2020,09/16/2020,Newtown Creek,NC,739.0,418000.0,,1156473,RT-qPCR,True,NC
09/15/2020,09/16/2020,North River,NR,248.0,132000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,658596,RT-qPCR,True,NR
09/15/2020,09/16/2020,Oakwood Beach,OB,286.0,106000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),258731,RT-qPCR,True,OB
09/15/2020,09/16/2020,Owls Head,OH,2693.0,978000.0,,906442,RT-qPCR,True,OH
